incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
IronGate Fire,Y,2019-07-03T13:12:42Z,2019-06-16T20:33:00Z,CAL FIRE Siskiyou Unit,,Siskiyou,"Deer Run Road, east of Iron Gate Reservoir",10,100,,CAL FIRE Siskiyou Unit,-122.40157,41.94622,Wildfire,fe63d965-9069-4a96-b9da-99d5fefdaa19,https://www.fire.ca.gov/incidents/2019/6/16/irongate-fire/,2019-06-21T14:23:00Z,2019-06-21,2019-06-16,N,TRUE,FALSE
Bikeway Fire,Y,2019-07-05T09:46:01Z,2019-07-05T09:46:01Z,CAL FIRE Santa Clara Unit,,Alameda,"Christensen Road, Near Bethany Reservoir ",25,100,,,-121.3697,37.469,Wildfire,65e8fbe1-5300-4c90-9f48-0e7bfe55b1bc,https://www.fire.ca.gov/incidents/2019/7/5/bikeway-fire/,2019-07-05T03:20:00Z,2019-07-05,2019-07-05,N,TRUE,FALSE
Snowstorm Fire,Y,2019-07-08T07:49:17Z,2019-07-05T16:37:04Z,Susanville Bureau of Land Management,,Lassen,"Snowstorm Rd, south of Ravendale",263,100,Not a CAL FIRE Incident. Please contact the Bureau of Land Management for more information.,Susanville Bureau of Land Management,-120.392768,40.679318,Wildfire,0f965f2f-3977-4ba5-bf7c-29feef27ee82,https://www.fire.ca.gov/incidents/2019/7/5/snowstorm-fire/,2019-07-06T07:49:00Z,2019-07-06,2019-07-05,N,FALSE,FALSE
Hollow Fire,Y,2019-07-08T07:50:42Z,2019-07-03T15:34:12Z,CAL FIRE Santa Clara Unit,,San Joaquin,"West Corral Hollow Road, Carnegie State Vehicular Recreational Area, southwest of Tracy",283,100,,,-121.538382,37.63206,Wildfire,89db8bb4-6e3b-4de7-b7d9-287c1a9032c0,https://www.fire.ca.gov/incidents/2019/7/3/hollow-fire/,2019-07-05T07:50:00Z,2019-07-05,2019-07-03,N,TRUE,FALSE
Merced Fire ,Y,2019-07-08T07:51:01Z,2019-06-29T15:09:52Z,CAL FIRE Madera- Mariposa- Merced Unit ,,Merced,"Off of Merced Fall Road and La Grange Road, East of Snelling",210,100,,,-120.242411,37.312877,Wildfire,cc06431a-5153-4f66-8ada-07af53c175c3,https://www.fire.ca.gov/incidents/2019/6/29/merced-fire/,2019-07-02T15:51:00Z,2019-07-02,2019-06-29,N,TRUE,FALSE
Coyote Fire,Y,2019-07-08T07:51:09Z,2019-07-02T16:10:02Z,San Jose Fire,,Santa Clara,Northbound US 101 at Coyote Creek Golf Drive in San Jose,74,100,,,-121.694968,37.18904,Wildfire,be4489fb-f51f-4109-8132-c7a28e0d9995,https://www.fire.ca.gov/incidents/2019/7/2/coyote-fire/,2019-07-02T18:32:00Z,2019-07-02,2019-07-02,N,FALSE,FALSE
Fellow Fire,Y,2019-07-08T07:51:17Z,2019-07-05T13:33:56Z,CAL FIRE Santa Clara Unit,,Contra Costa, Franklin Canyon Rd. ,24,100,,,-122.16201,37.99837,Wildfire,bc3e7037-5022-4e6a-8a1f-925c7e9aafc8,https://www.fire.ca.gov/incidents/2019/7/5/fellow-fire/,2019-07-05T14:58:00Z,2019-07-05,2019-07-05,N,TRUE,FALSE
Ranch Fire,Y,2019-07-08T07:51:24Z,2019-07-05T14:46:33Z,CAL FIRE Shasta-Trinity Unit,,Shasta,Near Yolla Bolla Rd & Roaring Creek in Igo,30,100,,,-122.767256,40.41741,Wildfire,65330473-c21f-446b-a6f4-7bd76bf0ebdc,https://www.fire.ca.gov/incidents/2019/7/5/ranch-fire/,2019-07-06T20:03:00Z,2019-07-06,2019-07-05,N,TRUE,FALSE
Far Fire,Y,2019-07-08T07:51:32Z,2019-07-06T20:21:25Z,CAL FIRE Nevada-Yuba-Placer Unit,,Yuba,"Camp Far West rd & Nisenan Ln, northeast of Wheatland",38,100,,,-121.35014,39.06066,Wildfire,2d3b577c-7b58-4ee3-9e21-cbec5abd8ce4,https://www.fire.ca.gov/incidents/2019/7/6/far-fire/,,,2019-07-06,N,TRUE,FALSE
Riverbottom Fire,Y,2019-07-09T13:52:05Z,2017-12-21T11:16:00Z,City of Riverside Fire Department,,Riverside,"Mission Inn Ave. and Redwood Dr., Riverside",45,100,,City of Riverside Fire Department,-117.38417,33.9885,Wildfire,e32c7957-8f4f-4ec1-a0f6-98085a2a7e89,https://www.fire.ca.gov/incidents/2017/12/21/riverbottom-fire/,2018-01-09T13:49:00Z,2018-01-09,2017-12-21,N,FALSE,FALSE
