Name,County,Date,Start Date and Time,End Date and Time,Latitude,Longitude,Acres Burned,Duration,Maximum Temperature,Minimum Temperature,Temperature,Dew Point,Precipitation,Wind Speed,Wind Gust,Wind Direction,Cloud Cover,Relative Humidity,Solar Radiation,Solar Energy,PDSI,NDVI,Elevation,Slope
IronGate Fire,Siskiyou,2019-06-16,2019-06-16 20:33:00+00:00,2019-06-21 14:23:00+00:00,41.94622,-122.40157,10.0,4.743055555555555,91.3,53.1,73.4,40.3,0.0,20.9,25.3,190.96,1.0,33.43,579.5,35.5,-1.5299997329711914,3881.0,795,1.246815204620361
Bikeway Fire,Alameda,2019-07-05,2019-07-05 09:46:01+00:00,2019-07-05 03:20:00+00:00,37.469,-121.3697,25.0,-0.26806712962962964,94.0,60.5,76.6,51.1,0.0,12.8,,311.29,1.5,45.12,504.0,30.8,2.479999542236328,4119.0,747,20.547216415405277
Snowstorm Fire,Lassen,2019-07-05,2019-07-05 16:37:04+00:00,2019-07-06 07:49:00+00:00,40.679318,-120.392768,263.0,0.633287037037037,87.9,50.1,71.0,38.7,0.0,12.8,,208.89,2.6,35.66,343.3,28.4,5.549999237060547,3226.0,1556,4.4348626136779785
Hollow Fire,San Joaquin,2019-07-03,2019-07-03 15:34:12+00:00,2019-07-05 07:50:00+00:00,37.63206,-121.538382,283.0,1.677638888888889,82.5,55.8,67.0,51.9,0.0,14.4,24.2,274.58,3.8,61.34,482.4,31.3,2.6000003814697266,1862.0,195,6.562916278839111
Merced Fire ,Merced,2019-06-29,2019-06-29 15:09:52+00:00,2019-07-02 15:51:00+00:00,37.312877,-120.242411,210.0,3.028564814814815,88.2,54.2,72.7,47.3,0.0,13.1,51.7,314.58,0.0,44.68,507.1,31.0,1.5499992370605469,2375.0,93,0.9274099469184875
Coyote Fire,Santa Clara,2019-07-02,2019-07-02 16:10:02+00:00,2019-07-02 18:32:00+00:00,37.18904,-121.694968,74.0,0.09858796296296296,73.5,54.5,63.1,53.0,0.0,15.3,28.9,120.63,25.2,71.35,474.2,27.3,1.8799991607666016,4723.0,102,3.6090104579925537
Fellow Fire,Contra Costa,2019-07-05,2019-07-05 13:33:56+00:00,2019-07-05 14:58:00+00:00,37.99837,-122.16201,24.0,0.05837962962962963,87.2,58.9,70.7,52.0,0.0,14.7,20.8,240.38,8.3,54.9,479.6,29.4,2.389999389648437,5858.0,95,8.695247650146484
Ranch Fire,Shasta,2019-07-05,2019-07-05 14:46:33+00:00,2019-07-06 20:03:00+00:00,40.41741,-122.767256,30.0,1.2197569444444445,94.4,66.3,81.5,51.1,0.0,10.6,16.1,223.71,0.0,37.03,429.3,26.3,1.479999542236328,3568.0,421,9.653480529785156
Far Fire,Yuba,2019-07-06,2019-07-06 20:21:25+00:00,,39.06066,-121.35014,38.0,,93.5,60.7,78.8,54.8,0.0,9.4,,188.54,1.4,46.11,634.3,36.5,3.659999847412109,3194.0,51,1.5119398832321167
Riverbottom Fire,Riverside,2017-12-21,2017-12-21 11:16:00+00:00,2018-01-09 13:49:00+00:00,33.9885,-117.38417,45.0,19.10625,60.5,46.5,52.9,9.1,0.0,17.3,29.6,63.25,1.9,18.48,,,-1.390000343322754,3319.0,266,0.0
Drum Fire,Santa Barbara,2017-12-16,2017-12-16 12:21:00+00:00,2018-01-09 13:49:00+00:00,34.71796,-120.27077,14.0,24.06111111111111,66.5,45.0,55.3,36.0,0.0,15.5,20.8,141.67,29.7,54.95,,,-1.510000228881836,4110.0,386,10.205516815185549
