Name,Date,Latitude,Longitude,Precipitation,Wind Gust,Cloud Cover,Relative Humidity,Solar Energy,PDSI,NDVI,Elevation,Slope,Wildfire_Scale_Acres_Normalized,Wildfire_Scale_Acres_Quantiles,Wildfire_Scale_Acres_NWCG
IronGate Fire,2019-06-16,41.94622,-122.40157,0.0,25.3,1.0,33.43,35.5,-1.5299997329711914,3881.0,795,1.246815204620361,1,1,B
Bikeway Fire,2019-07-05,37.469,-121.3697,0.0,12.8,1.5,45.12,30.8,2.479999542236328,4119.0,747,20.54721641540528,1,1,B
Snowstorm Fire,2019-07-05,40.679318,-120.392768,0.0,12.8,2.6,35.66,28.4,5.549999237060547,3226.0,1556,4.4348626136779785,1,4,C
Hollow Fire,2019-07-03,37.63206,-121.538382,0.0,24.2,3.8,61.34,31.3,2.6000003814697266,1862.0,195,6.562916278839111,1,4,C
Merced Fire ,2019-06-29,37.312877,-120.242411,0.0,51.7,0.0,44.68,31.0,1.5499992370605469,2375.0,93,0.9274099469184875,1,4,C
Coyote Fire,2019-07-02,37.18904,-121.694968,0.0,28.9,25.2,71.35,27.3,1.8799991607666016,4723.0,102,3.6090104579925537,1,2,B
Fellow Fire,2019-07-05,37.99837,-122.16201,0.0,20.8,8.3,54.9,29.4,2.389999389648437,5858.0,95,8.695247650146484,1,1,B
Ranch Fire,2019-07-05,40.41741,-122.767256,0.0,16.1,0.0,37.03,26.3,1.479999542236328,3568.0,421,9.653480529785156,1,1,B
Far Fire,2019-07-06,39.06066,-121.35014,0.0,9.4,1.4,46.11,36.5,3.659999847412109,3194.0,51,1.5119398832321167,1,2,B
Sargent Fire,2019-07-09,35.95191,-120.8092,0.0,25.3,26.6,64.2,27.7,2.059999465942383,2315.0,258,6.512691020965576,1,3,C
Gibbel Fire ,2019-07-11,33.69055556,-116.953889,0.0,12.9,0.4,45.05,28.5,2.5799999237060547,2410.0,514,1.854334115982056,1,1,B
