Latitude,Longitude,Date,Maximum Temperature,Minimum Temperature,Temperature,Dew Point,Wind Chill,Heat Index,Precipitation,Precipitation Cover,Snow,Snow Depth,Wind Speed,Wind Gust,Wind Direction,Visibility,Cloud Cover,Relative Humidity,Sea Level Pressure,Solar Radiation,Solar Energy,Weather Type,Info,Conditions
41.94622,-122.40157,2019-06-16,91.3,53.1,73.4,40.3,,87.2,0.0,0.0,0.0,0.0,20.9,25.3,190.96,9.9,1.0,33.43,1013.7,579.5,35.5,,,Clear
37.469,-121.3697,2019-07-05,94.0,60.5,76.6,51.1,,90.5,0.0,0.0,0.0,0.0,12.8,,311.29,9.1,1.5,45.12,1013.6,504.0,30.8,"Mist, Smoke Or Haze",,Clear
40.679318,-120.392768,2019-07-05,87.9,50.1,71.0,38.7,,84.2,0.0,0.0,0.0,0.0,12.8,,208.89,9.9,2.6,35.66,1019.5,343.3,28.4,,,Clear
37.63206,-121.538382,2019-07-03,82.5,55.8,67.0,51.9,,81.4,0.0,0.0,0.0,0.0,14.4,24.2,274.58,9.5,3.8,61.34,1012.2,482.4,31.3,,,Clear
37.312877,-120.242411,2019-06-29,88.2,54.2,72.7,47.3,,85.1,0.0,0.0,0.0,0.0,13.1,51.7,314.58,9.9,0.0,44.68,1015.0,507.1,31.0,,,Clear
37.18904,-121.694968,2019-07-02,73.5,54.5,63.1,53.0,,,0.0,0.0,0.0,0.0,15.3,28.9,120.63,9.4,25.2,71.35,1015.5,474.2,27.3,"Mist, Fog",,Partially cloudy
37.99837,-122.16201,2019-07-05,87.2,58.9,70.7,52.0,,84.9,0.0,0.0,0.0,0.0,14.7,20.8,240.38,9.9,8.3,54.9,1014.1,479.6,29.4,Light Rain,,Clear
40.41741,-122.767256,2019-07-05,94.4,66.3,81.5,51.1,,91.1,0.0,0.0,0.0,0.0,10.6,16.1,223.71,9.9,0.0,37.03,1012.9,429.3,26.3,,,Clear
39.06066,-121.35014,2019-07-06,93.5,60.7,78.8,54.8,,91.4,0.0,0.0,0.0,0.0,9.4,,188.54,9.7,1.4,46.11,1012.2,634.3,36.5,,,Clear
33.9885,-117.38417,2017-12-21,60.5,46.5,52.9,9.1,41.9,,0.0,0.0,0.0,0.0,17.3,29.6,63.25,9.9,1.9,18.48,1019.4,,,"Blowing Or Drifting Snow, Smoke Or Haze",,Clear
